#{"t_start": 1688933093.8043628, "env_id": "Pendulum-v1"}
r,l,t
-884.470366,200,217.917031
-1318.041218,200,218.210772
-890.39255,200,218.609146
-890.998839,200,218.887488
-768.864332,200,219.211428
-995.174334,200,219.563401
-915.202112,200,222.459224
-1136.87003,200,222.794475
-766.285531,200,223.148673
-625.556514,200,223.426504
-1205.137213,200,223.693456
-737.592911,200,224.048037
-1228.889562,200,224.365236
-1189.292219,200,224.611364
-1156.730315,200,224.86981
-1021.666165,200,225.105717
-757.597679,200,228.818264
-887.66358,200,229.145841
-849.397113,200,229.401678
-1206.312328,200,229.734782
-1064.337367,200,229.979645
-1019.687683,200,230.25772
-776.357733,200,230.547643
-1011.560654,200,230.825353
-1370.823245,200,231.147976
-773.052898,200,231.400714
-907.843918,200,231.731781
-1231.704495,200,234.676888
-1083.358422,200,234.947936
-1046.470904,200,235.294935
-1205.848434,200,235.632956
-910.885882,200,235.945473
-902.687981,200,236.283556
-1099.950413,200,236.556581
-902.449505,200,236.751549
-1212.24076,200,237.024122
-898.393511,200,237.275492
-1289.832903,200,240.28856
-1247.476169,200,240.532296
-1526.801504,200,240.779532
-774.550322,200,240.994545
-772.80939,200,241.22717
-1113.27012,200,241.505798
-892.520631,200,241.763017
-899.846931,200,242.063634
-790.601074,200,242.395
-769.41909,200,242.685696
-892.900967,200,246.068193
-1272.889732,200,246.426769
-1214.521145,200,246.762514
-904.730812,200,247.114673
-1087.067312,200,247.434844
-954.027976,200,247.74874
-1044.315796,200,248.035858
-910.499683,200,248.332042
-801.931196,200,248.631971
-1219.075899,200,248.869874
-917.15356,200,252.014052
-843.58818,200,252.244601
-779.783407,200,252.493039
-1425.429653,200,252.753191
-1093.058882,200,253.044281
-1105.008879,200,253.315861
-1063.52817,200,253.606323
-1034.050295,200,253.893227
-1469.257289,200,254.180814
-1066.628848,200,254.539542
-1056.819091,200,254.890477
-925.498583,200,257.826561
-1264.916214,200,258.13216
-1073.755791,200,258.4576
-902.695132,200,258.748635
-1026.298548,200,259.064371
-945.107785,200,259.349077
-1486.263873,200,259.616287
-931.619857,200,259.887877
-1367.102186,200,260.132026
-875.917901,200,260.41074
-1002.549568,200,263.885336
-933.625054,200,264.131849
-956.963276,200,264.379427
-996.519264,200,264.575141
-865.022368,200,264.826004
-957.43017,200,265.063379
-643.420234,200,265.354007
-1387.212308,200,265.593917
-1430.490497,200,266.011483
-1058.230733,200,266.350215
-1016.007291,200,268.616173
-1293.561606,200,268.802082
-1038.1138,200,269.010939
-850.512698,200,269.241135
-1054.595837,200,269.513649
-902.957062,200,269.697582
-1120.834637,200,269.901421
-912.788363,200,270.120661
-812.082695,200,270.345994
-1249.710265,200,270.60589
-702.101499,200,273.026444
-1262.291218,200,273.217016
-1248.105817,200,273.464728
-1031.826222,200,273.721107
-1119.749963,200,273.986268
-814.191591,200,274.215408
-787.97062,200,274.456541
-1022.520598,200,274.675465
-912.40255,200,274.866684
-911.76932,200,275.126174
-1011.073309,200,275.354846
-920.908434,200,278.612438
-897.082342,200,278.878057
-991.734557,200,279.148543
-799.462208,200,279.4677
-905.37165,200,279.750357
-1289.691873,200,280.015563
-662.400785,200,280.308453
-889.164916,200,280.596926
-902.939962,200,280.892933
-902.882683,200,281.182874
-999.57929,200,284.357307
-1050.265493,200,284.694417
-809.867348,200,285.047295
-1172.376403,200,285.425119
-915.57587,200,285.812203
-919.81626,200,286.222062
-1074.789512,200,286.559164
-888.278365,200,286.933543
-981.778964,200,287.340031
-833.080241,200,287.64353
-774.171638,200,290.555622
-904.647719,200,290.953264
-1106.602023,200,291.262709
-916.493544,200,291.613135
-899.259628,200,291.923774
-775.640738,200,292.199578
-961.253902,200,292.478363
-908.517598,200,292.7834
-911.588853,200,293.076222
-1435.515645,200,293.354567
-1094.463569,200,295.843107
-1252.741144,200,296.063476
-923.851126,200,296.325244
-691.119361,200,296.612252
-1314.639223,200,296.845909
-774.483756,200,297.144867
-926.141078,200,297.476419
-1041.90281,200,297.83871
-951.940501,200,298.084231
-1215.418062,200,298.219368
-841.582525,200,298.493099
-903.576895,200,301.236002
